date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:23:34	17350/17350	---MCZ	200	added ('OK')	text/css	etag:W/%22673fdaa5-43c6%22	https://whatsdetect.org/nf-ggads/assets/post-92.css	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/post-92.css	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:34	30924/30924	---MCZ	200	added ('OK')	text/css	etag:W/%22673fdaa5-78cc%22	https://whatsdetect.org/nf-ggads/assets/font-awesome.min.css	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/font-awesome.min.css	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:35	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155ed%22	https://code.jquery.com/jquery-3.7.1.min.js	C:/Meus%20Sites/whats/code.jquery.com/jquery-3.7.1.min.js	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:35	15055/15055	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673fdaa4-3acf%22	https://whatsdetect.org/nf-ggads/assets/v4-shims.min.js	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/v4-shims.min.js	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:36	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Dec%202024%2006:23:35%20GMT	http://www.w3.org/2000/svg	C:/Meus%20Sites/whats/www.w3.org/2000/svg.10.delayed	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:36	163262/163262	---MC-	200	added ('OK')	image/webp	etag:%22673fdaa2-27dbe%22	https://whatsdetect.org/nf-ggads/assets/img-1.webp	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/img-1.webp	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:37	1506/1506	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Mar%202016%2023:37:07%20GMT	https://www.w3.org/2000/svg	C:/Meus%20Sites/whats/www.w3.org/2000/svg.html	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:37	67800/67800	---MC-	200	added ('OK')	image/webp	etag:%22673fdaa6-108d8%22	https://whatsdetect.org/nf-ggads/assets/img2.webp	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/img2.webp	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:37	10076/10076	---MC-	200	added ('OK')	image/webp	etag:%22673fdaa5-275c%22	https://whatsdetect.org/nf-ggads/assets/ssl-secure-3.webp	C:/Meus%20Sites/whats/whatsdetect.org/nf-ggads/assets/ssl-secure-3.webp	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
03:23:38	338/338	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Dec%202024%2006:23:37%20GMT	https://ipinfo.io/json	C:/Meus%20Sites/whats/ipinfo.io/json.json	(from https://whatsdetect.org/nf-ggads/?src=ads2&gad_source=1&gclid=CjwKCAiAjp-7BhBZEiwAmh9rBW9Pur-Y0BrMf5KBwY1gRZGDyqeJc4nYfd8fsimoRrz15d4BBhbABBoCfOMQAvD_BwE)
